Date|Day in Season|Rank|Feast|Commemorations
2025-06-03|Feria III week VII of Eastertide|Memorial|Ss. Charles Lwanga and Companions, Martyrs|
2025-06-04|Feria IV week VII of Eastertide|Feria|Feria IV week VII of Eastertide|
2025-06-05|Feria V week VII of Eastertide|Memorial|St. Boniface, Bishop and Martyr|
2025-06-06|Feria VI week VII of Eastertide|Feria|Feria VI week VII of Eastertide|St. Norbert, Bishop
2025-06-07|Sabbato week VII of Eastertide|Feria|Sabbato week VII of Eastertide|
2025-06-08|Dominica X of Ordinary Time|Solemnity|Pentacost Sunday|
2025-06-09|Feria II week X of Ordinary Time|Memorial|Blessed Virgin Mary, Mother of the Church|
2025-06-10|Feria III week X of Ordinary Time|Feria|Feria III week X of Ordinary Time|
2025-06-11|Feria IV week X of Ordinary Time|Memorial|St. Barnabas, Apostle|
2025-06-12|Feria V week X of Ordinary Time|Feria|Feria V week X of Ordinary Time|
2025-06-13|Feria VI week X of Ordinary Time|Memorial|St. Anthony of Padua, Priest and Doctor of the Church|
2025-06-14|Sabbato week X of Ordinary Time|Feria|Sabbato week X of Ordinary Time|BVM on Saturday
2025-06-15|Dominica XI of Ordinary Time|Solemnity|The Most Holy Trinity|
2025-06-16|Feria II week XI of Ordinary Time|Feria|Feria II week XI of Ordinary Time|
2025-06-17|Feria III week XI of Ordinary Time|Feria|Feria III week XI of Ordinary Time|
2025-06-18|Feria IV week XI of Ordinary Time|Feria|Feria IV week XI of Ordinary Time|
2025-06-19|Feria V week XI of Ordinary Time|Solemnity|The Most Holy Body and Blood of Christ|
2025-06-20|Feria VI week XI of Ordinary Time|Feria|Feria VI week XI of Ordinary Time|
2025-06-21|Sabbato week XI of Ordinary Time|Memorial|St. Aloysius Gonzaga, Religious|
2025-06-22|Dominica XII of Ordinary Time|Sunday|Dominica XII of Ordinary Time|
2025-06-23|Feria II week XII of Ordinary Time|Feria|Feria II week XII of Ordinary Time|
2025-06-24|Feria III week XII of Ordinary Time|Solemnity|The Nativity of St. John the Baptist|
2025-06-25|Feria IV week XII of Ordinary Time|Feria|Feria IV week XII of Ordinary Time|
2025-06-26|Feria V week XII of Ordinary Time|Feria|Feria V week XII of Ordinary Time|
2025-06-27|Feria VI week XII of Ordinary Time|Solemnity|The Most Sacred Heart of Jesus|
