Date|Day in Season|Rank|Feast|Commemorations
2023-03-07|Feria III week II of Lent|Feria|Feria III week II of Lent|Sts. Perpetua and Felicity, Martyrs
2023-03-08|Feria IV week II of Lent|Feria|Feria IV week II of Lent|St. John of God, Religious
2023-03-09|Feria V week II of Lent|Feria|Feria V week II of Lent|St. Frances of Rome, Religious
2023-03-10|Feria VI week II of Lent|Feria|Feria VI week II of Lent|
2023-03-11|Sabbato week II of Lent|Feria|Sabbato week II of Lent|
2023-03-12|Dominica III of Lent|Major Sunday|Dominica III of Lent|
2023-03-13|Feria II week III of Lent|Feria|Feria II week III of Lent|
2023-03-14|Feria III week III of Lent|Feria|Feria III week III of Lent|
2023-03-15|Feria IV week III of Lent|Feria|Feria IV week III of Lent|
2023-03-16|Feria V week III of Lent|Feria|Feria V week III of Lent|
2023-03-17|Feria VI week III of Lent|Feria|Feria VI week III of Lent|St. Patrick, Bishop
2023-03-18|Sabbato week III of Lent|Feria|Sabbato week III of Lent|St. Cyril of Jerusalem, Bishop and Doctor of the Church
2023-03-19|Dominica IV of Lent|Major Sunday|Dominica IV of Lent|
2023-03-20|Feria II week IV of Lent|Solemnity|St. Joseph, Spouse of the Blessed Virgin Mary (transferred)|
2023-03-21|Feria III week IV of Lent|Feria|Feria III week IV of Lent|
2023-03-22|Feria IV week IV of Lent|Feria|Feria IV week IV of Lent|
2023-03-23|Feria V week IV of Lent|Feria|Feria V week IV of Lent|St. Turibius of Mongrovejo, Bishop
2023-03-24|Feria VI week IV of Lent|Feria|Feria VI week IV of Lent|
2023-03-25|Sabbato week IV of Lent|Solemnity|The Annunciation of the Lord|
2023-03-26|Dominica of the Passion|Major Sunday|Dominica of the Passion|
2023-03-27|Feria II of Passion Week|Feria|Feria II of Passion Week|
2023-03-28|Feria III of Passion Week|Feria|Feria III of Passion Week|
2023-03-29|Feria IV of Passion Week|Feria|Feria IV of Passion Week|
2023-03-30|Feria V of Passion Week|Feria|Feria V of Passion Week|
2023-03-31|Feria VI of Passion Week|Feria|Feria VI of Passion Week|
2023-04-01|Sabbato of Passion Week|Feria|Sabbato of Passion Week|
2023-04-02|Dominica Palm Sunday|Major Sunday|Dominica Palm Sunday|
2023-04-03|Feria II of Holy Week|Feria|Feria II of Holy Week|
2023-04-04|Feria III of Holy Week|Feria|Feria III of Holy Week|
2023-04-05|Feria IV of Holy Week|Feria|Feria IV of Holy Week|
2023-04-06|Feria V of Holy Week|Feria|Feria V of Holy Week|
2023-04-07|Feria VI of Holy Week|Feria|Feria VI of Holy Week|
2023-04-08|Sabbato of Holy Week|Feria|Sabbato of Holy Week|
2023-04-09|Dominica Easter|Major Sunday|Dominica Easter|
2023-04-10|Feria II in the Octave of Easter|Feria|Feria II in the Octave of Easter|
2023-04-11|Feria III in the Octave of Easter|Feria|Feria III in the Octave of Easter|
2023-04-12|Feria IV in the Octave of Easter|Feria|Feria IV in the Octave of Easter|
2023-04-13|Feria V in the Octave of Easter|Feria|Feria V in the Octave of Easter|
2023-04-14|Feria VI in the Octave of Easter|Feria|Feria VI in the Octave of Easter|
2023-04-15|Sabbato in the Octave of Easter|Feria|Sabbato in the Octave of Easter|
2023-04-16|Dominica II of Easter|Sunday|Dominica II of Easter|
2023-04-17|Feria II week II of Eastertide|Feria|Feria II week II of Eastertide|
2023-04-18|Feria III week II of Eastertide|Feria|Feria III week II of Eastertide|
2023-04-19|Feria IV week II of Eastertide|Feria|Feria IV week II of Eastertide|
2023-04-20|Feria V week II of Eastertide|Feria|Feria V week II of Eastertide|
2023-04-21|Feria VI week II of Eastertide|Feria|Feria VI week II of Eastertide|St. Anselm, Bishop and Doctor of the Church
2023-04-22|Sabbato week II of Eastertide|Feria|Sabbato week II of Eastertide|
2023-04-23|Dominica III of Easter|Sunday|Dominica III of Easter|
2023-04-24|Feria II week III of Eastertide|Feria|Feria II week III of Eastertide|St. Fidelis of Sigmaringen, Priest and Martyr
2023-04-25|Feria III week III of Eastertide|Feast|St. Mark, Evangelist|
2023-04-26|Feria IV week III of Eastertide|Feria|Feria IV week III of Eastertide|
2023-04-27|Feria V week III of Eastertide|Feria|Feria V week III of Eastertide|
2023-04-28|Feria VI week III of Eastertide|Feria|Feria VI week III of Eastertide|St. Peter Chanel, Priest and Martyr, St. Louis Grignon de Montfort, Priest
2023-04-29|Sabbato week III of Eastertide|Memorial|St. Catherine of Siena, Virgin and Doctor of the Church|
2023-04-30|Dominica IV of Easter|Sunday|Dominica IV of Easter|
2023-05-01|Feria II week IV of Eastertide|Feria|Feria II week IV of Eastertide|St. Joseph the Worker
2023-05-02|Feria III week IV of Eastertide|Memorial|St. Athanasius, Bishop and Doctor of the Church|
2023-05-03|Feria IV week IV of Eastertide|Feast|Sts. Philip and James, Apostles|
2023-05-04|Feria V week IV of Eastertide|Feria|Feria V week IV of Eastertide|
2023-05-05|Feria VI week IV of Eastertide|Feria|Feria VI week IV of Eastertide|
2023-05-06|Sabbato week IV of Eastertide|Feria|Sabbato week IV of Eastertide|
2023-05-07|Dominica V of Easter|Sunday|Dominica V of Easter|
2023-05-08|Feria II week V of Eastertide|Feria|Feria II week V of Eastertide|
2023-05-09|Feria III week V of Eastertide|Feria|Feria III week V of Eastertide|
2023-05-10|Feria IV week V of Eastertide|Feria|Feria IV week V of Eastertide|St. John of Ávila, Priest and Doctor of the Church
2023-05-11|Feria V week V of Eastertide|Feria|Feria V week V of Eastertide|
2023-05-12|Feria VI week V of Eastertide|Feria|Feria VI week V of Eastertide|Sts. Nereus and Achilleus, Martyrs, St. Pancras, Martyr
2023-05-13|Sabbato week V of Eastertide|Feria|Sabbato week V of Eastertide|Our Lady of Fatima
2023-05-14|Dominica VI of Easter|Sunday|Dominica VI of Easter|
2023-05-15|Feria II week VI of Eastertide|Feria|Feria II week VI of Eastertide|
2023-05-16|Feria III week VI of Eastertide|Feria|Feria III week VI of Eastertide|
2023-05-17|Feria IV week VI of Eastertide|Feria|Feria IV week VI of Eastertide|
2023-05-18|Feria V week VI of Eastertide|Solemnity|The Ascension of the Lord|
2023-05-19|Feria VI week VI of Eastertide|Feria|Feria VI week VI of Eastertide|
2023-05-20|Sabbato week VI of Eastertide|Feria|Sabbato week VI of Eastertide|St. Bernardine of Siena, Priest
2023-05-21|Dominica VII of Easter|Sunday|Dominica VII of Easter|
2023-05-22|Feria II week VII of Eastertide|Feria|Feria II week VII of Eastertide|St. Rita of Cascia, Religious
2023-05-23|Feria III week VII of Eastertide|Feria|Feria III week VII of Eastertide|
2023-05-24|Feria IV week VII of Eastertide|Feria|Feria IV week VII of Eastertide|
2023-05-25|Feria V week VII of Eastertide|Feria|Feria V week VII of Eastertide|St. Bede the Venerable, Priest and Doctor of the Church, St. Gregory VII, Pope, St. Mary Magdalene de' Pazzi, Virgin
2023-05-26|Feria VI week VII of Eastertide|Memorial|St. Philip Neri, Priest|
2023-05-27|Sabbato week VII of Eastertide|Feria|Sabbato week VII of Eastertide|St. Augustine of Canterbury, Bishop
2023-05-28|Dominica VIII of Ordinary Time|Solemnity|Pentacost Sunday|
2023-05-29|Feria II week VIII of Ordinary Time|Memorial|Blessed Virgin Mary, Mother of the Church|
2023-05-30|Feria III week VIII of Ordinary Time|Feria|Feria III week VIII of Ordinary Time|
2023-05-31|Feria IV week VIII of Ordinary Time|Feast|The Visitation of the Blessed Virgin Mary|
2023-06-01|Feria V week VIII of Ordinary Time|Memorial|St. Justin, Martyr|
2023-06-02|Feria VI week VIII of Ordinary Time|Feria|Feria VI week VIII of Ordinary Time|Sts. Marcellinus and Peter, Martyrs
2023-06-03|Sabbato week VIII of Ordinary Time|Memorial|Sts. Charles Lwanga and Companions, Martyrs|
2023-06-04|Dominica IX of Ordinary Time|Solemnity|The Most Holy Trinity|
2023-06-05|Feria II week IX of Ordinary Time|Memorial|St. Boniface, Bishop and Martyr|
2023-06-06|Feria III week IX of Ordinary Time|Feria|Feria III week IX of Ordinary Time|St. Norbert, Bishop
2023-06-07|Feria IV week IX of Ordinary Time|Feria|Feria IV week IX of Ordinary Time|
2023-06-08|Feria V week IX of Ordinary Time|Solemnity|The Most Holy Body and Blood of Christ|
2023-06-09|Feria VI week IX of Ordinary Time|Feria|Feria VI week IX of Ordinary Time|St. Ephrem, Deacon and Doctor of the Church
2023-06-10|Sabbato week IX of Ordinary Time|Feria|Sabbato week IX of Ordinary Time|BVM on Saturday
2023-06-11|Dominica X of Ordinary Time|Sunday|Dominica X of Ordinary Time|
2023-06-12|Feria II week X of Ordinary Time|Feria|Feria II week X of Ordinary Time|
2023-06-13|Feria III week X of Ordinary Time|Memorial|St. Anthony of Padua, Priest and Doctor of the Church|
2023-06-14|Feria IV week X of Ordinary Time|Feria|Feria IV week X of Ordinary Time|
2023-06-15|Feria V week X of Ordinary Time|Feria|Feria V week X of Ordinary Time|
2023-06-16|Feria VI week X of Ordinary Time|Solemnity|The Most Sacred Heart of Jesus|
2023-06-17|Sabbato week X of Ordinary Time|Memorial|The Immaculate Heart of the Blessed Virgin Mary|
2023-06-18|Dominica XI of Ordinary Time|Sunday|Dominica XI of Ordinary Time|
2023-06-19|Feria II week XI of Ordinary Time|Feria|Feria II week XI of Ordinary Time|St. Romuald, Abbot
2023-06-20|Feria III week XI of Ordinary Time|Feria|Feria III week XI of Ordinary Time|
2023-06-21|Feria IV week XI of Ordinary Time|Memorial|St. Aloysius Gonzaga, Religious|
2023-06-22|Feria V week XI of Ordinary Time|Feria|Feria V week XI of Ordinary Time|St. Paulinus of Nola, Bishop, Sts. John Fisher and Thomas More, Bishop and Martyrs
2023-06-23|Feria VI week XI of Ordinary Time|Feria|Feria VI week XI of Ordinary Time|
2023-06-24|Sabbato week XI of Ordinary Time|Solemnity|The Nativity of St. John the Baptist|
2023-06-25|Dominica XII of Ordinary Time|Sunday|Dominica XII of Ordinary Time|
2023-06-26|Feria II week XII of Ordinary Time|Feria|Feria II week XII of Ordinary Time|
2023-06-27|Feria III week XII of Ordinary Time|Feria|Feria III week XII of Ordinary Time|St. Cyril of Alexandria, Bishop and Doctor of the Church
2023-06-28|Feria IV week XII of Ordinary Time|Memorial|St. Irenaeus, Bishop and Martyr and Doctor of the Church|
2023-06-29|Feria V week XII of Ordinary Time|Solemnity|Sts. Peter and Paul, Apostles|
2023-06-30|Feria VI week XII of Ordinary Time|Feria|Feria VI week XII of Ordinary Time|The First Martyrs of Holy Roman Church, Martyrs
2023-07-01|Sabbato week XII of Ordinary Time|Feria|Sabbato week XII of Ordinary Time|BVM on Saturday
2023-07-02|Dominica XIII of Ordinary Time|Sunday|Dominica XIII of Ordinary Time|
2023-07-03|Feria II week XIII of Ordinary Time|Feast|St. Thomas, Apostle|
2023-07-04|Feria III week XIII of Ordinary Time|Feria|Feria III week XIII of Ordinary Time|St. Elizabeth of Portugal
2023-07-05|Feria IV week XIII of Ordinary Time|Feria|Feria IV week XIII of Ordinary Time|St. Anthony Zaccaria, Priest
2023-07-06|Feria V week XIII of Ordinary Time|Feria|Feria V week XIII of Ordinary Time|St. Maria Goretti, Virgin and Martyr
2023-07-07|Feria VI week XIII of Ordinary Time|Feria|Feria VI week XIII of Ordinary Time|
2023-07-08|Sabbato week XIII of Ordinary Time|Feria|Sabbato week XIII of Ordinary Time|BVM on Saturday
2023-07-09|Dominica XIV of Ordinary Time|Sunday|Dominica XIV of Ordinary Time|
2023-07-10|Feria II week XIV of Ordinary Time|Feria|Feria II week XIV of Ordinary Time|
2023-07-11|Feria III week XIV of Ordinary Time|Memorial|St. Benedict, Abbot|
2023-07-12|Feria IV week XIV of Ordinary Time|Feria|Feria IV week XIV of Ordinary Time|
2023-07-13|Feria V week XIV of Ordinary Time|Feria|Feria V week XIV of Ordinary Time|St. Henry
2023-07-14|Feria VI week XIV of Ordinary Time|Feria|Feria VI week XIV of Ordinary Time|St. Camillus de Lellis, Priest
2023-07-15|Sabbato week XIV of Ordinary Time|Memorial|St. Bonaventure, Bishop and Doctor of the Church|
2023-07-16|Dominica XV of Ordinary Time|Sunday|Dominica XV of Ordinary Time|
2023-07-17|Feria II week XV of Ordinary Time|Feria|Feria II week XV of Ordinary Time|
2023-07-18|Feria III week XV of Ordinary Time|Feria|Feria III week XV of Ordinary Time|
2023-07-19|Feria IV week XV of Ordinary Time|Feria|Feria IV week XV of Ordinary Time|
2023-07-20|Feria V week XV of Ordinary Time|Feria|Feria V week XV of Ordinary Time|St. Apollinaris, Bishop and Martyr
2023-07-21|Feria VI week XV of Ordinary Time|Feria|Feria VI week XV of Ordinary Time|St. Lawrence of Brindisi, Priest and Doctor of the Church
2023-07-22|Sabbato week XV of Ordinary Time|Feast|St. Mary Magdalene|
2023-07-23|Dominica XVI of Ordinary Time|Sunday|Dominica XVI of Ordinary Time|
2023-07-24|Feria II week XVI of Ordinary Time|Feria|Feria II week XVI of Ordinary Time|St. Sharbel Makhluf, Priest
2023-07-25|Feria III week XVI of Ordinary Time|Feast|St. James, Apostle|
2023-07-26|Feria IV week XVI of Ordinary Time|Memorial|Sts. Joachim and Anne, Parents of the Blessed Virgin Mary|
2023-07-27|Feria V week XVI of Ordinary Time|Feria|Feria V week XVI of Ordinary Time|
2023-07-28|Feria VI week XVI of Ordinary Time|Feria|Feria VI week XVI of Ordinary Time|
2023-07-29|Sabbato week XVI of Ordinary Time|Memorial|Sts. Martha, Mary and Lazarus|
2023-07-30|Dominica XVII of Ordinary Time|Sunday|Dominica XVII of Ordinary Time|
2023-07-31|Feria II week XVII of Ordinary Time|Memorial|St. Ignatius of Loyola, Priest|
2023-08-01|Feria III week XVII of Ordinary Time|Memorial|St. Alphonsus Liguori, Bishop and Doctor of the Church|
2023-08-02|Feria IV week XVII of Ordinary Time|Feria|Feria IV week XVII of Ordinary Time|St. Eusebius of Vercelli, Bishop, St. Peter Julian Eymard, Priest
2023-08-03|Feria V week XVII of Ordinary Time|Feria|Feria V week XVII of Ordinary Time|
2023-08-04|Feria VI week XVII of Ordinary Time|Memorial|St. Jean Vianney, Priest|
2023-08-05|Sabbato week XVII of Ordinary Time|Feria|Sabbato week XVII of Ordinary Time|The Dedication of the Basilica of St. Mary Major, BVM on Saturday
2023-08-06|Dominica XVIII of Ordinary Time|Feast|The Transfiguration of the Lord|
2023-08-07|Feria II week XVIII of Ordinary Time|Feria|Feria II week XVIII of Ordinary Time|St. Sixtus II and Companions, Pope and Martyrs, St. Cajetan, Priest
2023-08-08|Feria III week XVIII of Ordinary Time|Memorial|St. Dominic, Priest|
2023-08-09|Feria IV week XVIII of Ordinary Time|Feria|Feria IV week XVIII of Ordinary Time|St. Teresa Benedicta of the Cross, Virgin and Martyr
2023-08-10|Feria V week XVIII of Ordinary Time|Feast|St. Lawrence, Deacon and Martyr|
2023-08-11|Feria VI week XVIII of Ordinary Time|Memorial|St. Clare, Virgin|
2023-08-12|Sabbato week XVIII of Ordinary Time|Feria|Sabbato week XVIII of Ordinary Time|St. Jane Frances de Chantal, Religious, BVM on Saturday
2023-08-13|Dominica XIX of Ordinary Time|Sunday|Dominica XIX of Ordinary Time|
2023-08-14|Feria II week XIX of Ordinary Time|Memorial|St. Maximilian Kolbe, Priest and Martyr|
2023-08-15|Feria III week XIX of Ordinary Time|Solemnity|The Assumption of the Blessed Virgin Mary|
2023-08-16|Feria IV week XIX of Ordinary Time|Feria|Feria IV week XIX of Ordinary Time|St. Stephen of Hungary
2023-08-17|Feria V week XIX of Ordinary Time|Feria|Feria V week XIX of Ordinary Time|
2023-08-18|Feria VI week XIX of Ordinary Time|Feria|Feria VI week XIX of Ordinary Time|
2023-08-19|Sabbato week XIX of Ordinary Time|Feria|Sabbato week XIX of Ordinary Time|St. John Eudes, Priest, BVM on Saturday
2023-08-20|Dominica XX of Ordinary Time|Sunday|Dominica XX of Ordinary Time|
2023-08-21|Feria II week XX of Ordinary Time|Memorial|St. Pius X, Pope|
2023-08-22|Feria III week XX of Ordinary Time|Memorial|The Queenship of the Blessed Virgin Mary|
2023-08-23|Feria IV week XX of Ordinary Time|Feria|Feria IV week XX of Ordinary Time|St. Rose of Lima, Virgin
2023-08-24|Feria V week XX of Ordinary Time|Feast|St. Bartholomew, Apostle|
2023-08-25|Feria VI week XX of Ordinary Time|Feria|Feria VI week XX of Ordinary Time|St. Louis, St. Joseph Calasanz, Priest
2023-08-26|Sabbato week XX of Ordinary Time|Feria|Sabbato week XX of Ordinary Time|BVM on Saturday
2023-08-27|Dominica XXI of Ordinary Time|Sunday|Dominica XXI of Ordinary Time|
2023-08-28|Feria II week XXI of Ordinary Time|Memorial|St. Augustine of Hippo, Bishop and Doctor of the Church|
2023-08-29|Feria III week XXI of Ordinary Time|Memorial|The Passion of St. John the Baptist, Martyr|
2023-08-30|Feria IV week XXI of Ordinary Time|Feria|Feria IV week XXI of Ordinary Time|
2023-08-31|Feria V week XXI of Ordinary Time|Feria|Feria V week XXI of Ordinary Time|
2023-09-01|Feria VI week XXI of Ordinary Time|Feria|Feria VI week XXI of Ordinary Time|
2023-09-02|Sabbato week XXI of Ordinary Time|Feria|Sabbato week XXI of Ordinary Time|BVM on Saturday
2023-09-03|Dominica XXII of Ordinary Time|Sunday|Dominica XXII of Ordinary Time|
2023-09-04|Feria II week XXII of Ordinary Time|Feria|Feria II week XXII of Ordinary Time|
2023-09-05|Feria III week XXII of Ordinary Time|Feria|Feria III week XXII of Ordinary Time|St. Teresa of Calcutta, Virgin
2023-09-06|Feria IV week XXII of Ordinary Time|Feria|Feria IV week XXII of Ordinary Time|
2023-09-07|Feria V week XXII of Ordinary Time|Feria|Feria V week XXII of Ordinary Time|
2023-09-08|Feria VI week XXII of Ordinary Time|Feast|The Nativity of the Blessed Virgin Mary|
2023-09-09|Sabbato week XXII of Ordinary Time|Feria|Sabbato week XXII of Ordinary Time|St. Peter Claver, Priest, BVM on Saturday
2023-09-10|Dominica XXIII of Ordinary Time|Sunday|Dominica XXIII of Ordinary Time|
2023-09-11|Feria II week XXIII of Ordinary Time|Feria|Feria II week XXIII of Ordinary Time|
2023-09-12|Feria III week XXIII of Ordinary Time|Feria|Feria III week XXIII of Ordinary Time|The Most Holy Name of Mary
2023-09-13|Feria IV week XXIII of Ordinary Time|Memorial|St. John Chrysostom, Bishop and Doctor of the Church|
2023-09-14|Feria V week XXIII of Ordinary Time|Feast|The Exaltation of the Holy Cross|
2023-09-15|Feria VI week XXIII of Ordinary Time|Memorial|Our Lady of Sorrows|
2023-09-16|Sabbato week XXIII of Ordinary Time|Memorial|Sts. Cornelius and Cyprian, Pope and Bishop and Martyrs|
2023-09-17|Dominica XXIV of Ordinary Time|Sunday|Dominica XXIV of Ordinary Time|
2023-09-18|Feria II week XXIV of Ordinary Time|Feria|Feria II week XXIV of Ordinary Time|
2023-09-19|Feria III week XXIV of Ordinary Time|Feria|Feria III week XXIV of Ordinary Time|St. Januarius, Bishop and Martyr
